time,velocity,temperature,rainfall,humidity
1,1.8,23.6,108.5,63
2,1.6,19.2,91.5,66
3,1.5,13.3,71.5,65
4,1.4,7.6,109.5,68
5,1.4,5.8,22.5,64
6,1.7,7.3,71.5,58
7,1.8,8.6,81,57
8,2,13.5,17.5,54
9,2,18.9,156,56
10,1.9,23.1,159,64
11,1.8,25.3,250,69
12,1.9,29.1,119,61
13,1.9,26.1,128.5,66
14,1.6,18.7,92,63
15,1.4,12,23.5,64
16,1.4,7.7,92,66
17,1.4,4.6,47,67
18,1.6,3.6,61,66
19,2.1,9.6,123.5,60
20,2.3,14.4,178,58
21,2.3,19.3,198.5,56
22,2,22.3,189.5,65
23,2.1,28.5,98.5,62
24,2.2,28,87.5,63
25,2,24,207,65
26,1.6,18.5,123,66
27,1.6,11.9,66.5,65
28,1.6,7.6,50.5,65
29,1.7,5.2,89.5,65
30,1.9,6.7,128,64
31,2.3,8.8,113,57
32,2.3,14.6,87.5,53
33,2.2,19.3,107,58
34,2.2,23.5,134,60
35,2.2,26.6,309,69
36,2.3,27.4,106.5,63
37,2.2,23.5,53.5,61
38,1.8,18.1,131,63
39,1.7,12.3,156.5,68
40,1.9,7.2,42,63
41,2,4.7,33,61
42,2.1,6.8,140,63
43,2.2,8.5,166.5,64
44,2.4,12.6,191.5,59
45,2.3,18.1,203,59
46,2,23.7,227,64
47,1.9,27.6,425,67
48,2.2,30.1,175,62
49,2.1,25.9,219,62
50,1.9,19.1,160,69
51,1.7,11.8,15,67
52,1.9,7.5,106,67
53,2.1,2.8,10,67
54,1.8,6.3,80.5,65
55,2.2,6.8,60,64
56,2.2,12.5,107,60
57,2.2,19,415,64
58,2.1,24.1,145.5,71
59,2.4,27.9,137.5,69
60,2.2,28.7,62,68
61,2.4,24.7,345,70
62,1.8,18.4,205.5,68
63,1.6,13.8,73,72
64,2,6.5,9.5,68
65,1.9,4.1,31,69
66,2.1,4.1,115,66
68,2.4,14.2,118,62
69,2.3,18.8,44.5,60
70,2.4,22.7,236.5,67
71,2.1,27.5,333.5,71
72,2.4,29,112,65
73,2.1,25.6,140.5,69
74,1.9,18.2,88,66
75,1.8,11.1,120,70
76,1.9,5.4,81,69
77,2,3.9,41,66
78,2,4.5,96,67
79,2.2,9.7,65.5,58
80,2.4,13.4,109.5,58
81,2.4,19.2,38,56
82,2.3,24.1,173.5,63
83,2.1,28,140,67
84,2,29.2,102,64
85,2.1,24.3,358,66
86,2.1,20,217.5,68
87,1.7,11.5,50,66
88,1.8,6.3,59.5,67
91,2.3,9,147.5,65
92,2.3,14.4,84.5,53
93,2.4,19.8,78,56
94,2.3,24.1,61,64
95,2.1,27.6,98,68
96,2.2,27.5,487,72
97,2,23.3,65,64
98,2.1,18.8,105,67
99,1.7,13.1,60,68
100,2.1,5.5,93.5,67
101,1.9,4.9,120.5,74
102,1.9,5.6,43.5,69
103,2.1,9.4,159,64
104,2.3,15.6,163.5,64
105,2.2,21.2,128,55
106,2.2,22.8,263,68
107,2.3,27.2,416.5,71
108,2,28.3,241.5,67
109,2,22.9,190.5,70
110,1.9,18.1,38.5,61
111,1.7,14.5,177,72
112,1.8,9,101,69
113,2,5.7,77,65
114,2.2,6.4,99,63
115,2.2,9.9,69,60
116,2.4,16.1,180.5,61
117,2.2,21,147.5,59
118,2.2,23.2,284,69
119,2,27.8,102.5,68
120,2.3,29,148.5,63
121,1.9,25.3,458.5,73
